state,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Income,2021,2022,CATEGORY
Kerala,1815,1826,1932,7983,8598,8868,9145,9265,9819,10430,19461,19809,20659,21944,23159,32351,35492,38113,41315,43644,47360,50146,97912,103551,107846,112444,120387,129251,137181,147347,149674,1459776,134878,143816,Per Capita Income
Madhya Pradesh,1696,1538,1618,6584,6550,6790,7089,7301,7621,8248,12384,11150,11715,10880,11870,15442,15927,17073,17572,19462,20959,21706,38497,41142,42548,44027,47351,52782,54824,59000,61298,604075,58334,63345,Per Capita Income
Maharashtra,3483,3399,3837,12183,12158,13221,13464,13925,14199,15257,23011,21892,22258,23447,24859,36077,40671,45582,50138,50183,54246,59587,99597,104008,109597,115058,122889,133686,137808,142063,145165,1516919,133356,NA,Per Capita Income
Manipur,1739,1841,1886,5846,5558,5616,6022,6434,6401,7097,13260,12157,12641,12319,13389,18547,19341,19250,19868,20861,21810,20711,39762,38954,41441,44101,46389,47151,51211,48106,51625,587477,51876,NA,Per Capita Income
Meghalaya,1733,1764,1617,6893,6940,7535,7602,7881,8507,8996,14355,14910,15518,15882,16658,23079,24278,25471,25633,28223,29306,31418,60013,59703,58681,55880,56039,57752,58493,60132,61755,763914,56679,60606,Per Capita Income
Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16443,16635,17245,18429,18555,24662,25826,26308,28467,31921,34699,40072,57654,60261,67594,85056,91845,99089,117272,119022,108933,1072910,97408,NA,Per Capita Income
Nagaland,1976,2006,2239,9129,9410,9646,9880,10287,9118,8726,14107,15699,16637,17409,17319,30441,33072,35074,37317,39041,40590,43992,53010,55482,58619,60372,60663,64259,66813,70218,73361,873689,69663,NA,Per Capita Income
Odisha,1383,1530,1476,4896,5054,5204,4773,5382,5471,5742,10622,10208,10697,10500,11900,17650,18194,20194,21640,22963,22846,23968,48387,50769,54209,54361,57806,66416,71032,75421,76564,735517,71622,79607,Per Capita Income
Puducherry,3183,2883,2434,9781,9661,9889,13512,17402,19279,19374,30486,34190,35831,38648,39633,48302,60046,61142,64749,69374,80363,84142,119649,119196,129127,117102,121000,126531,134934,153988,154517,1758274,147483,150454,Per Capita Income
Punjab,3730,3825,3931,12710,12784,13008,13705,13812,14334,14809,25631,25986,25992,25955,27075,33103,34096,37087,39567,41003,42831,44769,85577,88915,93238,95807,100141,105848,110857,115592,118487,1265940,112119,118341,Per Capita Income
Rajasthan,1942,1755,1975,6182,7134,7216,7862,8601,8754,8555,13619,12840,13933,12054,15579,18565,19445,21342,21922,23356,24304,27502,57192,58441,61053,64496,68565,71324,73529,73929,76882,803413,74009,81231,Per Capita Income
Sikkim,3369,3492,NA,8402,8277,8822,9146,9539,9914,9874,14890,15305,15953,17065,18159,26690,29008,30293,31722,35394,60774,66136,158667,160553,168897,180675,195066,207355,232483,240743,248691,2124324,239928,256507,Per Capita Income
Tamil Nadu,2237,2270,2363,8955,9932,10147,10451,11260,11592,12167,19432,20319,19748,19662,20707,30062,34126,39166,41314,43193,47394,53507,93112,97257,102191,107117,115875,123206,133029,141844,144845,1407355,143528,154427,Per Capita Income
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24409,27921,30562,33271,37436,37183,43354,91121,92732,96039,101424,112267,121512,131503,146777,153360,1280871,143023,158561,Per Capita Income
Tripura,1642,1643,1666,5534,5364,5707,6239,6828,7396,7968,14119,14933,16947,17752,18554,24394,25688,27558,29022,31711,34544,36718,47155,50501,54645,63992,61612,69860,75020,82313,83985,851971,80512,86539,Per Capita Income
Uttar Pradesh,1652,1627,1615,5066,5209,5256,5706,5518,5432,5675,9749,9721,9672,9806,10120,12950,13445,14241,14875,15713,16390,17388,32002,32908,34044,34583,36973,40847,41771,42333,43053,473114,39371,40432,Per Capita Income
Uttarakhand,NA,NA,NA,6896,7369,7163,7476,7429,7385,7256,13516,14932,15364,16530,17542,24726,27781,30644,35444,38621,44557,48525,100314,106359,112900,118979,127249,138784,148011,150179,148303,1450812,138191,146047,Per Capita Income
West Bengal,2145,2267,2295,6756,7094,7492,7880,8408,8814,9320,15888,16244,17225,17568,18374,22649,23808,25400,27094,27914,29799,31314,51543,53157,53811,54520,57255,60618,64007,68212,71719,775987,72202,NA,Per Capita Income
